"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Elijah Moore","BUF","16.5","180.1","1.3","0.0","1.3","0.0","0.0","26.0"
"Arian Smith","NYJ","14.7","175.5","1.2","0.0","11.0","0.0","0.0","25.7"
"Kalif Raymond","DET","14.7","182.9","1.2","0.0","4.0","0.0","0.6","24.7"
"Isaac TeSlaa","DET","13.7","177.2","1.1","0.0","0.0","0.0","0.0","24.5"
"Jahan Dotson","PHI","14.9","173.6","1.1","0.0","1.7","0.0","0.0","24.3"
"Bub Means","NO","14.9","186.4","1.0","0.7","4.0","0.0","0.3","24.2"
"Olamide Zaccheaus","CHI","15.0","163.4","1.1","1.1","5.4","0.0","0.0","23.6"
"Jalin Hyatt","NYG","12.5","175.4","0.9","0.0","0.0","0.0","0.0","23.2"
"Mack Hollins","NE","12.2","153.7","1.2","0.0","0.0","0.0","0.1","22.7"
"Irvin Charles","NYJ","13.7","153.1","1.0","0.0","0.0","0.0","0.0","21.0"
"Tank Dell","HOU","11.0","139.0","1.0","0.0","2.0","0.0","0.0","20.1"
"Hunter Renfrow","CAR","14.9","147.6","0.9","0.0","0.0","0.0","0.0","19.9"
"Xavier Restrepo","TEN","12.0","131.0","1.0","0.0","3.0","0.0","0.0","19.4"
"Michael Gallup","WAS","11.5","129.8","1.0","0.0","0.0","0.0","0.0","19.0"
"Jaylin Lane","WAS","10.4","120.0","0.8","2.2","13.5","0.1","0.1","18.7"
"DJ Chark Jr.","ATL","9.4","129.4","0.9","0.0","0.0","0.0","0.0","18.6"
"Lil'Jordan Humphrey","NYG","12.0","126.0","1.0","0.0","0.0","0.0","0.0","18.6"
"Jha'Quan Jackson","TEN","11.4","138.4","0.8","0.0","1.7","0.0","0.5","17.7"
"Quez Watkins","ARI","10.7","127.7","0.8","0.0","0.0","0.0","0.0","17.4"
"Erik Ezukanma","MIA","10.9","125.6","0.8","0.0","0.0","0.0","0.0","17.3"
"Sterling Shepard","TB","11.1","111.1","1.0","0.0","1.7","0.0","0.0","17.0"
"Simi Fehoko","ARI","9.4","112.2","0.8","0.0","0.0","0.0","0.0","16.1"
"KhaDarel Hodge","ATL","8.8","114.0","0.6","0.0","0.0","0.0","0.1","15.2"
"Parris Campbell","DAL","11.0","105.0","0.6","0.0","0.0","0.0","0.0","14.3"
"Tylan Wallace","BAL","6.7","88.5","0.9","0.0","1.7","0.0","0.0","14.2"
"DeAndre Carter","CLE","9.9","118.9","0.5","0.0","0.0","0.0","0.5","13.9"
"David Moore","CAR","7.8","100.3","0.6","0.0","0.0","0.0","0.0","13.8"
"KeAndre Lambert-Smith","LAC","7.8","97.6","0.6","0.0","0.0","0.0","0.0","13.5"
